window_end,active_games,bucket0_ratio
65800,1918.87,0.85
65900,1882.73,0.85
66000,1873.22,0.85
66100,1773.97,0.85
66200,1638.09,0.85
66300,1564.91,0.85
66400,1487.45,0.84
66500,1293.21,0.85
66600,1238.01,0.85
66700,1226.25,0.85
66800,1209.53,0.84
66900,1186.64,0.84
67000,1150.43,0.84
67100,1026.79,0.84
67200,861.22,0.84
67300,1338.81,0.83
67400,2155.53,0.83
67500,2138.14,0.83
67600,2113.14,0.83
67700,2112.56,0.84
67800,2109.53,0.84
67900,2070.34,0.84
68000,2077.34,0.84
68100,2035.00,0.83
68200,2044.94,0.84
68300,2070.19,0.85
68400,2068.62,0.83
68500,2032.36,0.84
68600,2047.06,0.84
68700,2048.31,0.84
68800,2061.62,0.83
68900,2054.42,0.83
69000,2035.16,0.84
69100,2043.35,0.83
69200,2029.70,0.83
69300,2041.81,0.83
69400,1976.44,0.83
69500,2109.19,0.84
69600,2149.20,0.86
69700,2115.43,0.86
69800,2071.46,0.86
69900,2034.64,0.86
70000,2012.12,0.85
70100,2000.41,0.86
70200,1793.45,0.85
70300,1806.36,0.85
70400,1784.03,0.85
70500,1790.12,0.85
70600,1782.00,0.86
70700,1592.71,0.85
70800,1544.00,0.85
70900,1502.00,0.85
71000,1368.44,0.85
71100,1373.73,0.85
71200,1338.98,0.85
71300,1104.34,0.84
71400,642.47,0.84
71500,417.15,0.84
71600,1360.08,0.84
71700,2182.30,0.84
71800,2135.52,0.85
71900,2082.00,0.84
72000,2012.55,0.84
72100,1919.70,0.84
72200,1829.26,0.84
72300,1784.76,0.84
72400,1728.64,0.84
72500,1690.41,0.84
72600,1679.68,0.84
72700,1665.60,0.84
72800,1630.00,0.84
72900,1633.64,0.84
73000,1630.00,0.84
73100,1630.00,0.84
73200,1630.00,0.84
73300,1630.00,0.84
73400,1484.56,0.84
73500,1220.85,0.84
73600,1112.67,0.83
73700,640.01,0.82
73800,2007.07,0.82
73900,2159.97,0.84
74000,2078.55,0.83
74100,1974.66,0.84
74200,1913.56,0.84
74300,1897.76,0.84
74400,1829.81,0.83
74500,1772.31,0.83
74600,1757.83,0.84
74700,1776.23,0.83
74800,1790.93,0.84
74900,1671.75,0.84
75000,1672.44,0.83
75100,1687.97,0.83
75200,1638.35,0.83
75300,1757.29,0.83
75400,1647.46,0.84
75500,1647.46,0.84
75600,1637.00,0.84
75700,1657.92,0.83
75800,1646.96,0.82
75900,1806.91,0.83
76000,2140.21,0.85
76100,2077.01,0.84
76200,2035.89,0.85
76300,2021.63,0.85
76400,1990.90,0.85
76500,1988.09,0.85
76600,1972.59,0.84
76700,1963.98,0.85
76800,1913.80,0.84
76900,1879.30,0.84
77000,1767.95,0.84
77100,1596.50,0.84
77200,1448.30,0.84
77300,1385.85,0.84
77400,1289.67,0.84
77500,1197.86,0.83
77600,1212.52,0.84
77700,1057.94,0.83
77800,851.14,0.83
77900,600.05,0.83
78000,897.15,0.82
78100,2112.95,0.84
78200,2062.69,0.85
78300,2011.00,0.85
78400,1976.34,0.85
78500,1942.50,0.85
78600,1898.75,0.85
78700,1821.98,0.84
78800,1790.58,0.84
78900,1764.29,0.84
79000,1770.68,0.84
79100,1754.00,0.84
79200,1754.00,0.84
79300,1756.08,0.84
79400,1746.75,0.84
79500,1683.32,0.84
79600,1373.07,0.84
79700,1054.04,0.84
79800,1121.85,0.84
79900,831.96,0.83
80000,723.97,0.83
80100,367.00,0.82
80200,1831.99,0.85
80300,2019.00,0.86
80400,1948.57,0.86
80500,1945.95,0.87
80600,1930.20,0.86
80700,1926.00,0.87
80800,1927.05,0.86
80900,1926.00,0.86
81000,1945.95,0.87
81100,1940.70,0.87
81200,1927.05,0.86
81300,1931.25,0.87
81400,1949.10,0.87
81500,1938.60,0.87
81600,1951.20,0.87
81700,1949.10,0.87
81800,1928.10,0.87
81900,1932.30,0.86
82000,1943.85,0.87
82100,1928.10,0.86
82200,1798.51,0.84
82300,1848.51,0.85
82400,1792.43,0.84
82500,1739.83,0.84
82600,1688.34,0.84
82700,1639.05,0.84
82800,1592.43,0.84
82900,1588.94,0.84
83000,1564.00,0.84
83100,1511.50,0.84
83200,1416.37,0.84
83300,1330.14,0.84
83400,1316.33,0.84
83500,1179.90,0.84
83600,1018.46,0.84
83700,839.32,0.84
83800,964.37,0.84
83900,829.21,0.84
84000,652.98,0.83
84100,1363.98,0.84
84200,1745.05,0.85
84300,1659.85,0.85
84400,1618.62,0.85
84500,1581.37,0.85
84600,1554.90,0.85
84700,1561.35,0.85
84800,1567.37,0.85
84900,1555.06,0.85
