window_end,active_games,bucket0_ratio
75000,2146.74,0.06
75100,2146.93,0.06
75200,1862.96,0.07
75300,1675.69,0.06
75400,1598.50,0.06
75500,1520.01,0.06
75600,1371.32,0.07
75700,1380.76,0.06
75800,1309.06,0.05
75900,1276.61,0.06
76000,1188.80,0.06
76100,1293.74,0.06
76200,862.54,0.07
76300,799.87,0.07
76400,636.29,0.07
76500,564.90,0.07
76600,677.60,0.12
76700,1397.66,0.26
76800,2794.35,0.08
76900,2723.16,0.08
77000,2596.44,0.05
77100,2589.54,0.06
77200,2470.00,0.08
77300,2345.31,0.05
77400,2289.42,0.07
77500,2373.21,0.06
77600,2348.47,0.06
77700,2127.88,0.06
77800,2410.13,0.07
77900,2359.83,0.04
78000,2276.34,0.08
78100,2194.15,0.08
78200,1882.27,0.07
78300,1414.41,0.07
78400,1435.71,0.08
78500,1254.17,0.07
78600,1120.07,0.05
78700,1102.05,0.07
78800,1124.70,0.07
78900,1111.21,0.06
79000,1097.14,0.06
79100,655.41,0.06
79200,573.22,0.06
79300,540.58,0.06
79400,586.55,0.09
79500,2274.45,0.07
79600,2605.20,0.05
79700,2550.82,0.05
79800,2497.00,0.07
79900,2399.35,0.07
80000,2354.98,0.06
80100,2253.64,0.05
80200,2126.76,0.06
80300,2100.00,0.05
80400,2049.35,0.05
80500,1829.02,0.05
80600,1829.51,0.05
80700,1829.07,0.04
80800,1829.70,0.05
80900,1700.90,0.05
81000,1501.99,0.05
81100,1412.65,0.04
81200,1288.33,0.06
81300,1010.32,0.05
81400,997.86,0.05
81500,929.65,0.05
81600,661.27,0.05
81700,698.33,0.06
81800,628.19,0.06
81900,718.62,0.10
82000,878.16,0.13
82100,1458.31,0.15
82200,2493.32,0.12
82300,2496.00,0.12
82400,2472.73,0.13
82500,2301.92,0.10
82600,2205.40,0.11
82700,2139.75,0.14
82800,2122.34,0.11
82900,2011.84,0.10
83000,2035.49,0.11
83100,1853.32,0.08
83200,1657.57,0.11
83300,1537.68,0.10
83400,1551.57,0.10
83500,1372.81,0.09
83600,1216.01,0.11
83700,1163.00,0.10
83800,1108.68,0.11
83900,1102.73,0.11
84000,844.78,0.10
84100,800.35,0.10
84200,694.00,0.10
84300,599.09,0.10
84400,499.59,0.10
84500,484.96,0.11
84600,845.29,0.14
84700,2328.61,0.21
84800,2276.31,0.20
84900,2189.00,0.20
85000,2109.14,0.20
85100,2003.28,0.19
85200,2003.60,0.19
85300,1876.51,0.19
85400,1875.93,0.20
85500,1618.67,0.19
85600,1537.90,0.20
85700,1457.25,0.19
85800,1395.19,0.20
85900,1336.10,0.18
86000,1212.83,0.20
86100,1049.99,0.19
86200,961.73,0.19
86300,905.99,0.20
86400,765.38,0.19
86500,667.32,0.19
86600,528.34,0.19
86700,438.32,0.20
86800,348.02,0.20
86900,289.32,0.22
87000,1753.89,0.27
87100,2124.65,0.26
87200,2090.45,0.26
87300,2022.74,0.27
87400,1951.31,0.26
87500,1851.58,0.26
87600,1756.15,0.26
87700,1642.91,0.26
87800,1818.26,0.26
87900,1846.28,0.26
88000,1681.81,0.26
88100,1450.20,0.26
88200,1475.45,0.26
88300,1325.48,0.26
88400,1133.18,0.26
88500,1245.60,0.26
88600,1138.19,0.25
88700,817.40,0.25
88800,552.09,0.25
88900,456.00,0.25
89000,282.72,0.26
89100,263.51,0.27
89200,1981.07,0.40
89300,1950.12,0.36
89400,1843.80,0.38
89500,1675.46,0.37
89600,1560.72,0.36
89700,1718.64,0.35
89800,1653.45,0.37
89900,1506.63,0.35
90000,1400.47,0.36
90100,1382.51,0.35
90200,1278.93,0.36
90300,1234.33,0.36
90400,1174.51,0.35
90500,1101.09,0.35
90600,1036.11,0.36
90700,876.82,0.35
90800,759.18,0.34
90900,744.78,0.35
91000,382.95,0.35
91100,135.14,0.35
91200,1763.43,0.67
91300,1814.89,0.62
91400,1761.52,0.61
91500,1651.59,0.61
91600,1535.33,0.61
91700,1723.54,0.61
91800,1497.57,0.61
91900,1327.37,0.61
92000,1277.28,0.61
92100,1210.84,0.61
92200,1103.60,0.61
92300,1067.24,0.60
92400,1035.58,0.61
92500,955.34,0.61
92600,863.80,0.61
92700,766.84,0.60
92800,484.64,0.60
92900,579.99,0.60
93000,993.17,0.65
93100,1632.21,0.72
93200,1528.37,0.74
93300,1497.16,0.74
93400,1421.32,0.73
